job_title,job_role,company,job_location,job_summary,post_date,today,job_salary,job_url
Data Engineer,Data Engineer,Deloitte,"Chennai, Tamil Nadu","Develop solutions with an Agile Development team.. Define, produce, test, review, and debug solutions.. Create component-based features and micro-frontends.. Database development with Postgres. Create comprehensive unit test coverage in all layers.. Deploy solutions to Docker containers and Kubernetes.. Help build a team culture of autonomy and ownership.. Work with a Product Owner to refine stories into functional use cases and identify the work effort as tasks.. Participate in test case creation responsibilities and peer reviews prior to coding.. Review implementation plans of peers prior to their coding.. Demonstrate feature work at the end of each iteration.. Work from home when desired with infrequent visits to the office and limited travel for planning sessions.. Develop our ETL process to be a robust automated production quality solution and lead the implementation and delivery.. Peer with the application engineering team to ensure our data model fits the need of the solution while promoting best practices in its design from both a maintenance and performance perspective.. Peer with the data science team in understanding their needs for preparing large datasets for machine learning.. Assist the team with understanding the execution plan of poorly written queries. Help remediate performance problems by assisting the performance tuning of queries and/or refining the data model to meet the needs of the business.. Build data systems and pipelines.. Evaluate business needs and objectives.. Explore ways to enhance Product / pipeline.. Collaborate with Team. Showcase the Skills / Innovative ideas to Team biweekly.",Posted 30+ days ago,2023-03-08,?,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVNkZLBY5brOMPl_aYGto6wxTsqW5lQbpU5AZwAJmkdUJJF05kYTZPMBS0uhCnO2r2RlrPyX2lYBWNAX2xFRjoVKMChtMeJ3-w9aEjuXeZsJGOukkwlPTWzobBMjmbhWS-rY8AdG-YSr3zNcfhIxexwNLai2zPBAXPKYirR6iDJiZSzEkT56A3eXulAs2hFEhRMmlbc2lP1JlI35bXnEh6la7PWMt8PiEU5Q_lGZcGtQRKHJivCfanNJyxhhy5opJNnk5d_ublQrt_H36bHBDH_FMPItsoTTHmIrpfw0aSpGArHZYEGgxTG3DZSktR0Gk9-2e7WGOYrcF2mIQ0RAc-dZ1YJUqV1L5DS-jTqT7wVhz0nTYaSLwccypw4gaiLSNnf6zVHYgBJ80N2l8uTToSynAF7jesoaTmI1HO4OU8fkYAn6OhDz7R7TXkv6EKJdNUaEfw04E1tFmYrqESH32VWzBdwzmSs2JB-HO1RiOVNrWUtqxv1T9RVj9rP-qEDC5SdOlcuxi6QeX9kFxUDjpKWwuoN4pmjIPiAjZ7lfMNxLZZ_dlCAvt_JZc0zSUQhJJjyb7uTmEUnvgB2Wmu8vG2g8=&xkcb=SoBU-_M3Sf_EfK2HER0KbzkdCdPP&p=1&fvj=0&vjs=3
Data Analytics Engineer,Data Engineer,Larsen & Toubro Limited,"Vadodara, Gujarat","Possess past experience in developing Systems Requirements, Analytics for Decision Making .Should be able to analyse large sets of disconnected data points & develop action points from this data. .Advanced level of proficiency with Microsoft Office tools (Excel PowerPivot, Power Query, Data Models, PowerPoint) .Working knowledge / intermediate proficiency with SQL, ETL frameworks, Power BI with DAX programming, Tableau, AI / ML tools such as Python & R .Experience with creation of data into useful front end graphic design applications such as Power BI, Tableau etc. .Support the project manager/Digital Team Leader in identifying and managing project risks and issues, ensuring they are dealt with in an appropriate manner. .Contribute to budget and resource planning for projects and the Digital team. To be an effective member of the Digital Team. Contribute to work with key partners as required. .Undertake any other duties of a similar level and responsibility as may be required from time to time. Flexibility will be required in location dependent upon service needs and the requirement to provide cover at all sites",Posted Today,2023-03-08,"₹4,00,000 - ₹7,00,000 a year",https://in.indeed.com/rc/clk?jk=67af78864fbf6c25&fccid=4ed03476a1620afb&vjs=3
Sr. Data Engineer,Data Engineer,Genworth,"Noida, Uttar Pradesh","Build machine learning pipelines for a variety of use cases in insurance..Develop python pre/post processing programs for the ML Pipelines using industry standard ML libraries.Utilize GCP based tools for implementation of ML pipelines. (Composer, Airflow, Cloud functions, Bigquery, workbench, DocAI).Work with Production Support /Run the Shop IT Partner vendor team and provide directions and assistance..Interact closely with various functional and cross -functional teams to translate business requirements into technical solutions.Develop Enterprise API and Microservices using Python, JavaScript, Docker, Kubernetes and used DevOps for CICD",Posted 30+ days ago,2023-03-08,?,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DveHtaohNZTTr4NJ6iQ6LvBAugsddynFItxJfHbw6F-KCCBzz-kRnWozZCoRv0wg_W1ImkkiWNPY_DwF-HpEbgTTd_jI1zwdRg2KDoujy2fIbIYdi-kBUUom9WbC-x4gF2T0GwFMF4Wm4ZShKF_ywjgWUYf7CQl8sThJiv0iLlts_dwWrD_P9bC1MR89SSrDuOakBrQD3KU_BGH1rv70-FEYViDnlSTWfY92Vi6jjVVTDEHL6WzFZRryah9N2nCOodyQzwTcfAEhv_OjRFJkfIoIwwkhe9fn_8K-VihlMeTQQQZxZpLMJuzMO_65PNnNsBnpiw9i_CxhMFVQzIjEJfkg3NPfAUNuTsCM7dnOOv01fCEMtQC-lq4f93RED7fMSbcB8T4yi8znFFvY73y9L7WTfRUOE_zn6iebogCor0aMsWKd7KdiomCS_JoOqlH840zKlfoEMeEGv_kEoYaBteep6KbsxPevyv4-wONYBlAvsQIW1GqYELkNyOCELddJjz95XWOmcedYWChwOfN4sZSwZh5fhq-0rSUfhXewDNtoSPV56HVeMTjHydAMd4lbw=&xkcb=SoBr-_M3Sf_Ec1WHER0CbzkdCdPP&p=8&fvj=0&vjs=3
Data Analyst/Data Engineer,Data Engineer,The English Channel,"Ahmedabad, Gujarat","Extract data from online sources and capture those into proprietary applications using basic computer language expressions. Ensure capture of all required items as reported to build the comprehensive repository of data, with the utmost quality standards..Use basic computer programming knowledge and logic to write configuration and other programs to allow data to be parsed and normalized to our internal format. Parsing accuracy is a priority. Data analysis and cleansing are key components in this role..Develop and communicate data extraction approaches for assigned data products of North American government spending data, bid data, contract data, and contacts data..Collaborate with web-scraping team, and technology team to build end-to-end technology-enabled ecosystems and partner in research projects to analyze the massive data inputs.",Posted 8 days ago,2023-03-08,"₹6,00,000 - ₹9,00,000 a year",https://in.indeed.com/company/The-English-Channel/jobs/Data-Analyst-Data-Engineer-fa775994376ef79c?fccid=d7a8da66c6ee02e1&vjs=3
Data Engineer,Data Engineer,Global Employees,Remote,"Design, build and maintain reliable and scalable enterprise level distributed transactional data processing systems for scaling the existing business and supporting new business initiatives.Optimize jobs to utilize Kafka, Hadoop, Presto, Spark Streaming and Kubernetes resources in the most efficient way.Monitor and provide transparency into data quality across systems (accuracy, consistency, completeness, etc).Increase accessibility and effectiveness of data (work with analysts, data scientists, and developers to build/deploy tools and datasets that fit their use cases).Collaborate within a small team with diverse technology backgrounds.Provide mentorship and guidance to junior team members",Posted 3 days ago,2023-03-08,"₹10,00,000 - ₹30,00,000 a year",https://in.indeed.com/company/Global-Employees/jobs/Data-Engineer-20ffa9d0a016398d?fccid=0a420069a8b9978f&vjs=3
Data Engineer,Data Engineer,Mercedes-Benz Research and Development India Private Limited,"Bengaluru, Karnataka","Excellent Programming skills in Python with object oriented design .Strong programming skills with Pyspark, SparkSQL .Hands on experience in working with relational database like SQL, postgres database .Hands on experience on developing solutions on Big Data Clusters like MAPR Clusters or on cloud platform like Azure .Experience on working with Azure Databricks, Azure Data Factory is an added advantage .Deployment experience with Dockers and Kubernetes is an added advantage .Excellent logical , analytical and problem solving skills .Strong communication skills",Posted 30+ days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=417661483bdc6899&fccid=9ab138c02aaca829&vjs=3
Data Engineer,Data Engineer,TaskUs,"Indore, Madhya Pradesh","You will assist in making accurate and meaningful data available for consumption of TaskUs Data Science reporting methodology..You do your work meticulously in order to meet an enterprise’s data delivery, business analysis and reporting needs..You will create new data pipelines, database architectures and ETL processes, you will observe and suggest what the go-to methodology should be..You will be gathering requirements, performing vendor and product evaluations, deliver solutions, training, and documentation. You will also handle the design and development, tuning, deployment, and maintenance of information, advanced data analytics, and physical data persistence technologies..You will establish analytic environments required for structured, semi-structured and unstructured data..You will implement the business requirements and business processes, build ETL configurations, create pipelines for the Data Warehouse, research on new technologies and build proof-of concepts around them. Build and maintain extract-transform-load (“ETL”) and/or extract-load-transform (“ELT”) processes and data modeling for DW and Data Lake..You will carry out monitoring, tuning, and database performance analysis.",Posted 15 days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=d79e7902fd3614f4&fccid=e400e5c3cec6a031&vjs=3
Data Engineer,Data Engineer,Oracle,India,"Create and maintain highly scalable data pipelines across Azure Data Lake Storage, and Azure Synapse using Data Factory, Databricks and Apache Spark/Scala .Responsible for managing a growing cloud-based data ecosystem and reliability of our Corporate datalake and analytics data mart .Contribute to the continued evolution of Corporate Analytics Platform and Integrated data model. .Identify gaps and weaknesses in our data stack and continue to guide learning advancements for the team .Provide technical expertise and leadership to Data Engineering team in all phases of work including analysis, design and architecture to develop and implement cutting-edge solutions. .Negotiate and influence changes outside of the team that continuously shape and improve the Data strategy",Posted 7 days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=7438116928cd21de&fccid=cd22d01053af7669&vjs=3
Data Engineer,Data Engineer,Oracle,India,"Create and maintain highly scalable data pipelines across Azure Data Lake Storage, and Azure Synapse using Data Factory, Databricks and Apache Spark/Scala .Responsible for managing a growing cloud-based data ecosystem and reliability of our Corporate datalake and analytics data mart .Contribute to the continued evolution of Corporate Analytics Platform and Integrated data model. .Identify gaps and weaknesses in our data stack and continue to guide learning advancements for the team .Provide technical expertise and leadership to Data Engineering team in all phases of work including analysis, design and architecture to develop and implement cutting-edge solutions. .Negotiate and influence changes outside of the team that continuously shape and improve the Data strategy",Posted 7 days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=7438116928cd21de&fccid=cd22d01053af7669&vjs=3
Data Engineer,Data Engineer,Global Employees,Remote,"Design, build and maintain reliable and scalable enterprise level distributed transactional data processing systems for scaling the existing business and supporting new business initiatives.Optimize jobs to utilize Kafka, Hadoop, Presto, Spark Streaming and Kubernetes resources in the most efficient way.Monitor and provide transparency into data quality across systems (accuracy, consistency, completeness, etc).Increase accessibility and effectiveness of data (work with analysts, data scientists, and developers to build/deploy tools and datasets that fit their use cases).Collaborate within a small team with diverse technology backgrounds.Provide mentorship and guidance to junior team members",Posted 3 days ago,2023-03-08,"₹10,00,000 - ₹30,00,000 a year",https://in.indeed.com/company/Global-Employees/jobs/Data-Engineer-20ffa9d0a016398d?fccid=0a420069a8b9978f&vjs=3
